Topic,Sentiment,TweetId,TweetDate,TweetText
Wolf Of wall Street,negative,4.13E+17,,"After seeing the trailer, I can't think of any film I'd like to see less than The Wolf of Wall Street"
Wolf Of wall Street,negative,4.12E+17,,Just scowled at the Wolf of Wall Street trailer
Wolf Of wall Street,positive,4.14E+17,,The intoxicating trailer of The Wolf of Wall Street is easily my fav this year.
Wolf Of wall Street,positive,4.14E+17,,The Wolf of Wall Street Ultimate Money Trailer (2013) Leonardo DiCaprioso sick and can't wait
Wolf Of wall Street,positive,4.14E+17,,"So can't wait to see The Wolf of Wall Street"" trailer looks awesome"
Wolf Of wall Street,positive,4.13E+17,,"I shiver every time I see the trailer for wolf of wall street, omg Leo #sogood"
Wolf Of wall Street,positive,4.13E+17,,Every wolf of wall street trailer makes it look better and better
Wolf Of wall Street,positive,4.13E+17,,Fully psyched for Wolf of Wall Street. Had me at the trailer with Leonardo throwing a lobster at someone and some orange juice in a hedge
Wolf Of wall Street,positive,4.13E+17,,Words cannot describe the capacity of Leonardo DiCaprios sexiness in The Wolf Of Wall Street trailer. Literally could reduce me to tears 
Wolf Of wall Street,positive,4.13E+17,,"In The Wolf of Wall Street trailer, DiCaprio looks like he's having fun for the first time in 10 years."
Wolf Of wall Street,positive,4.13E+17,,"Looking forward to the release of The Wolf of Wall Street"" early next year! Trailer looks insane!!! #f"
Wolf Of wall Street,positive,4.13E+17,,From the trailer alone @JonahHill looks like he killed it in Wolf Of Wall Street
Wolf Of wall Street,positive,4.11E+17,,"Every time I see The Wolf of Wall Street trailer, I get more and more excited to see this movie!"
Wolf Of wall Street,positive,4.10E+17,,Watched the trailer for wolf of Wall Street like 30 times it looks so awesome
Wolf Of wall Street,positive,4.09E+17,,This movie looks tremendous!! The Wolf of Wall Street Official Trailer: 
Wolf Of wall Street,positive,4.09E+17,,Saw a new trailer for the Wolf of Wall Street before Nebraska and it looks brilliant.
Wolf Of wall Street,positive,4.09E+17,,The Wolf of Wall Street trailer is maybe one of the best trailers I've ever seen.
The Blind Side,negative,5753631538,,"The more I see the trailer, the more that Blindside movie looks like some forced sentimental Magic Negro"" bullshit. Come the F on"
The Blind Side,negative,5713328152,,"BTW college football broadcasts need to ban that movie trailer for The Blind Side"" or Seasonal Generic Football Movie 200"
The Blind Side,negative,5599252661,,"The Blind Side Trailer Pisses Me Off: I'm not a movie critic, but I've seen this movie before."
The Blind Side,positive,5779430081,,"Is going to watch The Blind Side at the El Con today. Haven't seen a trailer, hope its a good movie."
The Blind Side,positive,5766386593,,"Every time I see a trailer for THE BLIND SIDE, I fall more in love with Sandra Bullock"
The Blind Side,positive,5755822432,,Every time I see the trailer for The Blind Side I well up. I really want to see it.
The Blind Side,positive,5754429482,,@JaysunG i plan on watching the blind side...it looks really good. I just watched the extended trailer. I kind of wish I didn't see that.
The Blind Side,positive,5744150186,,I just saw the trailer for 'Blind Side' with Sandra Bullock. That looks so good too... Is anyone going to the movies this weekend?
The Blind Side,positive,5728581676,,Sandra Bullock Shows Major Compassion In 'The Blind Side' Movie Trailer http://bit.ly/4c75W
The Blind Side,positive,5719579709,,"really want to see the blind side."" the trailer makes me cry"
The Blind Side,positive,5703357912,,"The trailer for the movie The Blindside"" makes me teary eyed...Can't wait to see it"
The Blind Side,positive,5662499885,,Just saw a trailer for The Blind Side & I really want to see it now. (:
The Blind Side,positive,5639651980,,Thank goodness there is a new trailer for The Blind Side. The last one looked pretty racist. Still not seeing it though.
The Blind Side,positive,5638309107,,I want to go see the blind side!! I'm crying just watching the trailer
The Blind Side,positive,5636361896,,"Oh. My. God. The trailer for The Blind Side"" makes me cry. Every. Time. Must see it next Friday"
The Blind Side,positive,5626271317,,Just watched the previews trailer to THE BLIND SIDE i cant wait till Nov.20 its a MUST SEE!!...story of Micahel Oher's life
The Blind Side,positive,5618529211,,"Just saw a trailer for a movie called The Blind Side"". Comes out Nov 20th can not wait to see it:):"
The Blind Side,positive,5612085728,,wants to watch 'the blind side' !!! looks liek such a good movie! the fray music for the trailer? I THINK SO
The Blind Side,positive,5599668171,,"Just saw The Blindside"" trailer. Looks good"
The Blind Side,positive,5576365806,,"I am SO seeing that. RT @abaesel2: If Blindside"" is half as good as the trailer looks I will be very happy. Thanksgiving weekend"
The Blind Side,positive,5575264892,,can't wait to see the blind side
Mission Impossible Rogue Nation,negative,6.23E+17,,Trailer for Mission: Impossible 5 yawn
Mission Impossible Rogue Nation,positive,6.24E+17,,I liked a @YouTube video Mission: Impossible Rogue Nation Trailer
Mission Impossible Rogue Nation,positive,6.24E+17,,My favorite part from the Mission Impossible trailer was integrating Whole Lotta Love into the original theme. #LedZeppelin #RogueNation
Mission Impossible Rogue Nation,positive,6.23E+17,,Cool Mission Impossible trailer!
Mission Impossible Rogue Nation,positive,6.23E+17,,Just saw the trailer for the #MissionImpossible Movie! Looks exciting!
Mission Impossible Rogue Nation,positive,6.23E+17,,"Mission: Impossible Rogue Nation trailer I saw at the theaters, it was interesting. I should start watching the movies."
Mission Impossible Rogue Nation,positive,6.23E+17,,Just saw a special on new Mission Impossible movie. The trailer with Cruise hanging on to the side of a plane looks real because IT IS REAL.
Mission Impossible Rogue Nation,positive,6.23E+17,,"Just seen trailer for new mission impossible , looks epic"
Mission Impossible Rogue Nation,positive,6.23E+17,,"Just had a mini geek out over the Mission Impossible trailer, total guilty pleasure"
Mission Impossible Rogue Nation,positive,6.23E+17,,I'm now sold on the new MISSION: IMPOSSIBLE film. The IMAX trailer looked fantastic
Mission Impossible Rogue Nation,positive,6.22E+17,,Mission: Impossible - Rogue Nation trailer looks sick
Mission Impossible Rogue Nation,positive,6.22E+17,,Just saw trailer for new #MissionImpossible with incredible plane scene filmed over Wittering. Can't wait!
Mission Impossible Rogue Nation,positive,6.22E+17,,"Need to see that new #MissionImpossible film, cus the trailer is lookin on point"
Mission Impossible Rogue Nation,positive,6.22E+17,,Every new Mission Impossible trailer is great.
Mission Impossible Rogue Nation,positive,6.22E+17,,The new Mission Impossible trailer actually looks kind of cool.
Mission Impossible Rogue Nation,positive,6.22E+17,,"I don't get giddy watching trailer too often, but when the plane takes off at end of MISSION: IMPOSSIBLE ROGUE NATION, the kid in me smiles"
Mission Impossible Rogue Nation,positive,6.22E+17,,Just saw the trailer for the new mission impossible #excited
Mission Impossible Rogue Nation,positive,6.22E+17,,Man. Mission Impossible: Rogue Nation trailer looks dope. Luckily just saw the first two on Netflix!
Mission Impossible Rogue Nation,positive,6.21E+17,,Mission impossible trailer just came on... Impressive driving @OllieMillroy
Terminator Genisys,negative,5.50E+17,,The trailer for Terminator: Genisys sort of looks bad
Terminator Genisys,negative,5.50E+17,,"Having watched the Terminator: Genisys trailer, I really wished they'd stop doing that thing where they make new Terminator films"
Terminator Genisys,negative,5.50E+17,,"Terminator Genisys trailer tries to explain the plot of Terminator, fails hilariously. "
Terminator Genisys,negative,5.49E+17,,"Terminator Genisys - I want to point out in advance that this trailer makes no sense whatsoever, and almost seems"
Terminator Genisys,negative,5.49E+17,,Can we all talk about how insanely little sense anything makes in that Terminator Genisys trailer
Terminator Genisys,positive,5.50E+17,,This trailer makes a lot of sense! Terminator Genisys Trailer - Paradox Edition 
Terminator Genisys,positive,5.50E+17,,I liked a @YouTube video from @filmtrailerzone  Terminator Genisys - Official Trailer (2015) [HD]
Terminator Genisys,positive,5.50E+17,,This is hilarious. Absolutely hilarious. Terminator Genisys Trailer - Paradox Edition: 
Terminator Genisys,positive,5.49E+17,,Terminator Genisys Movie trailer looks badass
Terminator Genisys,positive,5.49E+17,,The trailer for Terminator Genisys looks pretty sweet. #illbeback #comewithmeifyouwanttolive #T800
Mad Max Fury Road,positive,5.97E+17,,Mad Max 2015 starring Charlise Theron! Looking forward to it. Anyone else still remember the original Mad Max... 
Mad Max Fury Road,positive,5.97E+17,,Mad max trailer looks so good! I cannot wait!
Mad Max Fury Road,positive,5.97E+17,,Tom Hardy plays the new Mad Max and he was wearing a mask in the trailer. I legit could not contain myself in the theater.
Mad Max Fury Road,positive,5.97E+17,,The more I see the trailer the more I wanna see the new Mad Max movie
Mad Max Fury Road,positive,5.97E+17,,I showed my father the trailer for the new Mad Max movie and he's so happy
Mad Max Fury Road,positive,5.97E+17,,I'm SO excited for the new mad max film. Everytime I see a trailer for it I nearly pass out!
Mad Max Fury Road,positive,5.97E+17,,There. I went and watched the Mad Max Fury Road trailer again. I feel better now.
Mad Max Fury Road,positive,5.97E+17,,Omg I saw a bit of mad max trailer last night and had heart palpitations. SO EXCCIITTTEEEDSDDDDD! Time for a marathon of originals
Mad Max Fury Road,positive,5.96E+17,,"I don't get excited for movie release, but in the trailer for Mad Max a guy plays a flaming guitar. Flaming guitars are very much my thing."
Mad Max Fury Road,positive,5.96E+17,,Everytime I see a mad max trailer I just want to watch the movie more
Mad Max Fury Road,positive,5.96E+17,,"No matter how many times I watch the Mad Max Fury Road first look trailer, I'm just still impressed with it. Hope the film will be damn good"
Mad Max Fury Road,positive,5.96E+17,,This is actually looking pretty damn good.. Mad Max - Gameplay Overview Trailer | PS4 /9hDPmTvqob0  via @YouTube
Mad Max Fury Road,positive,5.96E+17,,"Charlize in the Mad Max trailer is beautiful without being feminine, has a cool af robot arm, fights for herself, has no sexualised clothing"
Mad Max Fury Road,positive,5.96E+17,,"Omigosh I just saw the Mad Max trailer! I get the excitement now, guys! I do!"
Mad Max Fury Road,positive,5.96E+17,,"Every time I see a trailer for it, I have to say that Mad Max looks insane"
Mad Max Fury Road,positive,5.96E+17,,"Literally cannot wait till mad max comes out, the trailer looks insane! #MadMax"
Mad Max Fury Road,positive,5.96E+17,,i hope mad max is decent bc it looks so pretty in the trailer
Mad Max Fury Road,positive,5.96E+17,,"Start your day off right by rewatching the Mad Max: Fury Road trailer for the 6,000th time."
Mad Max Fury Road,positive,5.96E+17,,I am actually really looking forward to the new Mad Max movie. The trailer had a trailer exploding! #xzibit
Mad Max Fury Road,positive,5.96E+17,,I'm officially convinced to go and watch it. Nice throwback vibe… Mad Max: Fury Road - See the trailer 
Mad Max Fury Road,positive,5.96E+17,,"I had the most vivid and random dream about Tom Hardy lastnight, all cuz of that Mad Max trailer."
Mad Max Fury Road,positive,5.96E+17,,Paul check out this BADASS trailer for Mad Max! 
Mad Max Fury Road,positive,5.96E+17,,Tom Hardy in the new Mad Max movie.It looks so amazing.During the trailer my partner and I looked at each other and reacted the same Breath!
Mad Max Fury Road,positive,5.96E+17,,I don't recall being this excited after a trailer ever! Mad Max: Fury Road - Official Main Trailer [HD]via @YouTube
Mad Max Fury Road,positive,5.96E+17,,Cant wait to see this film looking at All the Crazy Stunts They Pulled Off for 'Mad Max: Fury Road' in This BTS... 
Mad Max Fury Road,positive,5.95E+17,,"Every time I see a trailer for Mad Max, I get more excited"
Mad Max Fury Road,positive,5.95E+17,,The Mad Max Fury Road trailer has totally sold me. I need to see this movie
Mad Max Fury Road,positive,5.95E+17,,Just saw the new trailer for Mad Max: Fury Road. Can't wait to see this movie! :D #MadMax #MadMaxFuryRoad pic.twitter.com/JBtHW2mVDw
Mad Max Fury Road,positive,5.95E+17,,OMG the new Mad Max trailer
Mad Max Fury Road,positive,5.95E+17,,Every Mad Max trailer has been phenomenal. Never watched a Mad Max movie but dang it looks good.
Mad Max Fury Road,positive,5.95E+17,,My dad got excites by the Mad Max trailer before we saw aou and he couldn't stop talking about Mad Max all the way. CUTE FANBOY MOMENT.
Mad Max Fury Road,positive,5.95E+17,,This looks sick!!! #CantWait Mad Max: Fury Road - Official Main Trailer [HD] via @YouTube
Mad Max Fury Road,positive,5.95E+17,,That MAD MAX trailer was amazing tho
Mad Max Fury Road,positive,5.95E+17,,every new Mad Max trailer looks more awesome
Mad Max Fury Road,positive,5.95E+17,,"Ok, so I was making fun of the mask in Mad Max. But this movie looks INCREDIBLE. The trailer is sooo good: "
Mad Max Fury Road,positive,5.95E+17,,"You know, I'm starting to wonder if anything can actually live up to the promise of the Mad Max trailer."
Mad Max Fury Road,positive,5.95E+17,,Omg we're watching the newest Mad Max trailer and this is gonna be so bonkers I'm so fucking excited.
Mad Max Fury Road,positive,5.95E+17,,the Mad Max trailer is visually stunning
Mad Max Fury Road,positive,5.95E+17,,"Hope the new Mad Max can deliver, trailer does look crazy."
Mad Max Fury Road,positive,5.95E+17,,Still get stupid excited every time I watch the Mad Max trailer.
Mad Max Fury Road,positive,5.95E+17,,I really liked the trailer for the new Mad Max movie except the first text you see is “over three decades ago!” cause… you know… I’m old.
Mad Max Fury Road,positive,5.94E+17,,*Watches Mad Max trailer with a sadistic smile*
Southpaw,negative,6.19E+17,,That trailer for Southpaw just spoils the entire movie
Southpaw,negative,6.19E+17,,Real life boxing is boring. Southpaw movie trailer looks dumb.
Southpaw,negative,6.19E+17,,They literally show the whole movie in the Southpaw trailer
Southpaw,negative,6.18E+17,,@HeatherScobie #Southpaw Glad to not see that particular trailer again. Other trailers much better.
Southpaw,negative,6.18E+17,,Kinda sucks that the wife's death was given away in the Southpaw trailer
Southpaw,negative,6.18E+17,,WELP. THE NEW TRAILER FOR SOUTHPAW HAS RUIN THE MOVIE.
Southpaw,negative,6.18E+17,,Would be great if movies didn't give away the whole movie in the trailer. #Southpaw
Southpaw,negative,6.18E+17,,Made the mistake of rewatching the trailer for #Southpaw. It's a great trailer but damn it spoils so much. Don't watch if you can!
Southpaw,negative,6.17E+17,,I'd be excited for Southpaw if the ENTIRE FUCKING MOVIE DIDN'T PLAY OUT IN THE FIRST OFFICIAL TRAILER. THANKS FITTY CENT.
Southpaw,positive,6.21E+17,,"Southpaw looks so amazing damn, got moist as f watching the trailer"
Southpaw,positive,6.21E+17,,"When I watch the Southpaw trailer, it makes me want to learn how to box"
Southpaw,positive,6.21E+17,,I get chills every time I watch the Southpaw trailer.
Southpaw,positive,6.21E+17,,Southpaw trailer looks mint
Southpaw,positive,6.21E+17,,We wanted to see @SouthpawMovie so much since we saw the trailer for the first time. And it's AMAZING! #Southpaw pic.twitter.com/XM4D8e5cYe
Southpaw,positive,6.21E+17,,I've seen the Southpaw trailer like 12 times and I get more excited every time I watch it
Southpaw,positive,6.20E+17,,Southpaw better be a good movie bc the trailer is pretty good
Southpaw,positive,6.20E+17,,I think the soundtrack in the southpaw trailer makes it
Southpaw,positive,6.20E+17,,the only reason Southpaw's trailer is so good because of @Eminem's Phenomenal playing in the background.
Southpaw,positive,6.20E+17,,This new movie #Southpaw looks tuff. Wicked trailer.
Southpaw,positive,6.20E+17,,Excited for Southpaw but yet again trailer is far too revealing - I may ban myself from watching any from now on #Southpaw
Southpaw,positive,6.20E+17,,Just by watching SouthPaw the trailer I know it's going to be amazing movie #july24
Southpaw,positive,6.19E+17,,If you don't get chills watching the trailer for Southpaw then you aren't human.
Southpaw,positive,6.19E+17,,Sound like a good movie have u seen southpaw the trailer looks good peace out max
Southpaw,positive,6.19E+17,,Every time I watch the trailer for Southpaw I get goosebumps
Southpaw,positive,6.19E+17,,man southpaw looks like a crazy movie. gotta watch that. jake gyllenhaal killed it in the trailer.
Southpaw,positive,6.19E+17,,I always wanted Jake Gyllenhaal to play #Batman. The trailer for #Southpaw makes me certain he could have nailed it. #BatmanvSuperman.
Southpaw,positive,6.19E+17,,Southpaw's trailer looks good
Southpaw,positive,6.19E+17,,This looks like a good boxing drama (but the Eminem song is weak) - Southpaw: http://www.indiewire.com/watch-a-transformed-jake-gyllenhaal-wows-once-more-in-new-trailer-for-southpaw?utm_campaign=Indiewire&utm_medium=social&utm_source=twitter&utm_content=1436373240 … #Trailers
Southpaw,positive,6.19E+17,,"okay okay, southpaw!!! great movie, great trailer, great actors... great song ''kings never die '' with a great... "
Southpaw,positive,6.19E+17,,get chills every time I see the trailer for Southpaw
Southpaw,positive,6.19E+17,,The latest trailer to #Southpaw looks incredible! Could be Oscar contender for #JakeGyllenhaal . Eminem for the soundtrack was perfect!
Southpaw,positive,6.19E+17,,I just saw the Southpaw Kings Never Die trailer. That's probably the movie I'm most hype about right now
Southpaw,positive,6.19E+17,,The Southpaw trailer literally gives me chills!
Southpaw,positive,6.19E+17,,After seeing the extended trailer in the cinema today I official cannot wait to see southpaw. Looks epic
Southpaw,positive,6.18E+17,,I wonder if Southpaw will be as good as its trailer.
Southpaw,positive,6.18E+17,,fuck yeah saw a trailer for south paw looks soo good
Southpaw,positive,6.18E+17,,"Can't wait for this movie, watched the trailer non stop. The emotion in the poster says it all. #Southpaw pic.twitter.com/qT7DAq2tXa"
Southpaw,positive,6.18E+17,,I get so hyped every time I see the trailer for Southpaw
Southpaw,positive,6.18E+17,,The trailer for Southpaw looked so dope
Southpaw,positive,6.18E+17,,I get chills watching just watching the trailer for southpaw.. Movies gunna be so raw
Southpaw,positive,6.17E+17,,But the best part about going to the movies is seeing the Southpaw trailer.
Minions,negative,6.17E+17,,"if I see the minions trailer one more time, I might kill someone."
Minions,negative,6.17E+17,,A minion in a Thong is wrong on so many different levels #youtube Minions - Official Trailer 3 (HD) - Illumination
Minions,negative,6.17E+17,,"I do get tired of seeing the trailer for the new minions movie,they show it like 100 times a day 0-0"
Minions,negative,6.17E+17,,tbh i had no issues w/ the minions movie right up until we saw one in a fucking thong on the trailer pic.twitter.com/ni92fU9A1B
Minions,negative,6.17E+17,,"Every time I see the Minions trailer, I slip further into insanity"
Minions,negative,6.17E+17,,I saw the minions trailer and I got really upset
Minions,negative,6.17E+17,,I saw a trailer for the minions movie and I walked out of the theater
Minions,negative,6.17E+17,,"I hate the minions, why was one of them wearing a thong in that trailer, who thought that would be a good idea?"
Minions,negative,6.17E+17,,"I've only seen one trailer for Minions"" and I'm already thoroughly annoyed."""
Minions,negative,6.17E+17,,"watching the minions trailer seeing sandra bullock is in it, first thought is she used to be Miss Congeniality 2 and she's fallen this far"""""
Minions,negative,6.16E+17,,"Spotify just showed me a trailer for the minions movie, I'm boycotting"
Minions,negative,6.16E+17,,I'd rather have watched the fucking trailer for the scorch trials than sit through the minions trailer. it looked that shitty
Minions,negative,6.16E+17,,Wtf does one of the minions from the movie trailer have a thong on
Minions,negative,6.16E+17,,and why the fuck did i just watch the minions trailer
Minions,negative,6.16E+17,,why the FUCK is under pressure in the minions trailer
Minions,negative,6.16E+17,,the minions movie trailer just came on im uncomfortable
Minions,negative,6.16E+17,,"Whenever I see a trailer with minions in it, I want to slit my own throat, but the audiences go crazy laughing. Seriously what am I missing?"
Minions,negative,6.16E+17,,"The fact that minions have clearly defined buttcracks in the trailer makes me incredibly uncomfortable - what's in front, then?!"
Minions,negative,6.16E+17,,I cringe when I'm at the movies and everyone is obnoxiously laughing at the Minions movie trailer. I couldn't take the whole movie *shudder*
Minions,negative,6.16E+17,,youtube just showed me a trailer for minions and the urge to kill is so strong
Minions,negative,6.15E+17,,the first time I saw the minions trailer I was like why is this a thing
Minions,negative,6.15E+17,,My Dad didn't like the minions trailer and was actually kind of annoyed by it. Not sure that our relationship is as strong as I thought!
Minions,negative,6.15E+17,,If my boyfriend doesn't stop laughing at the minions trailer I will leave America
Minions,negative,6.15E+17,,On a trailer related note: I am overtly sick of the Minions and their movie.
Minions,negative,6.15E+17,,The minions trailer makes me cringe. I don't know why I just fucking hate minions.
Minions,negative,6.15E+17,,"Okay no but seriously, if I see that STUPID Minions trailer while I'm trying to watch MY BOYS one mORE TIME I am going to go on a rampage."
Minions,negative,6.15E+17,,I'm being forced to watch a minions trailer I FUCKING HATE THE MINIONS I FUCKING HATE THEM I AM IN HELL
Minions,negative,6.14E+17,,How many times do I have to be subjected to the stupid Minions trailer
Minions,negative,6.14E+17,,why did I watch a minions trailer
Minions,negative,6.14E+17,,"Woke up to see the minions trailer on tv and one of the minions had a thong on, most disturbing thing"
Minions,positive,6.17E+17,,"I thought I had seen everything and then I saw a trailer where a minion was wearing a thong. Mark my words, Minions"" will be a hit."""
Minions,positive,6.17E+17,,How can you not want to see the minions movie when this is the soundtrack for their trailer??? 
Minions,positive,6.17E+17,,"Minions - fun, but maybe too much plot? (not often you say that). Trailer for Peanuts movie looks fun, Thomas & Friends somewhat less so."
Minions,positive,6.17E+17,,"Although the trailer for minions looks good, you can tell their milking the franchise for money"
Minions,positive,6.17E+17,,seeing the minions movie trailer in the movie theatre is hilarious bc its tru you can hear all the middle aged moms laughing their asses off
Minions,positive,6.17E+17,,I saw the Minions' movie trailer... and laughed D: #IAmSoSorry
Minions,positive,6.17E+17,,I'm that person cracking up in the movies when the Minions trailer comes on:/
Minions,positive,6.17E+17,,I liked a @YouTube video Minions Official Trailer #3 (2015) - Despicable Me Prequel HD
Minions,positive,6.17E+17,,I liked a @YouTube video from @mytrailerisrich MINIONS Official FINAL Trailer (2015)
Minions,positive,6.17E+17,,Seeing the minions trailer reminds me of how much I used to enjoy orange tic-tacs
Minions,positive,6.16E+17,,The beat in the Minions trailer is so sick.
Minions,positive,6.16E+17,,"O. M. G. I just saw a new Minions 10 second trailer on TV! And Scarlet Overkill said Minions!"" SO COOL!"""
Minions,positive,6.16E+17,,the minions trailer has a sick beat drop
Minions,positive,6.16E+17,,"I admitted to laughing at the Minions trailer and I could feel all my friends simultaneously draw back from me and whisper unclean"""""
Minions,positive,6.16E+17,,The minions movie trailer's music is hot
Minions,positive,6.16E+17,,My dad laughed way too much during the minions trailer
Minions,positive,6.16E+17,,"<3 Love my #minions, theses trailers are too funny, so excited 4 this movie! (Minions Theatrical Trailer #2) "
Minions,positive,6.16E+17,,Man that Minions trailer is hilarious
Minions,positive,6.16E+17,,The minions trailer is what i live for
Minions,positive,6.16E+17,,"Just watched the Minions movie trailer and legitimately laughed hard, which is rare for me with animated films"
Minions,positive,6.16E+17,,"I swear I heard a minion say fuck off"" in the trailer! Awesome! Laughed so hard I nearly choked. #minions"""
Minions,positive,6.16E+17,,I need to go see Minions. Trailer funny as fuck.
Minions,positive,6.16E+17,,This looks incredible! I can't wait to see it! The trailer made me lol so much before #Minions. #TheSecretLifeOfPets 
Minions,positive,6.15E+17,,I was laughing the whole time Minions Trailer 3 so funny
Minions,positive,6.15E+17,,This theater just laughed uproariously at the MINIONS trailer
Minions,positive,6.15E+17,,"Now this is my kind of movie trailer. Watch Minions - Stuart & Dave - Movie Clip (2015)"" on YouTube "
Minions,positive,6.15E+17,,Also? The Minions trailer is the BEST THING EVER.
Minions,positive,6.15E+17,,I just watched the trailer for the new minion movie and I now cannot contain myself! #cannotwait #minions
Minions,positive,6.15E+17,,Just laughed my nuts off at minions trailer
Minions,positive,6.15E+17,,I laughed way too much during the minions movie trailer.
Minions,positive,6.15E+17,,I squeal every time the Minions trailer comes on tv. #13days
Minions,positive,6.15E+17,,YOO THAT DROP IN THE MINIONS MOVIE TRAILER IS SO FIRE
Minions,positive,6.14E+17,,I don't know why but I really want to see Minions. I'm just hysterical watching the trailer. It's stupid but funny :P
Minions,positive,6.14E+17,,I seen the trailer today that Minions movie looks dope.. LoL
Minions,positive,6.14E+17,,The minions trailer makes me laugh so hard
The Martian,positive,,,I liked a @YouTube video http://youtu.be/K9YpnDxDSx8?a The Martian Soundtrack Trailer Song The Forest Rangers All Along the Watchtower Cover
The Martian,positive,,,#Trailer Box Office: The Martian Comes Close to Breaking Gravitys October Opening http://bit.ly/1jHM2B8
The Martian,negative,,,The Martian's second trailer is just as spoilery as the first one 
The Martian,positive,,,BUT MY FATHER WANTS TO SEE THE MARTIAN WITH ME BECAUSE HE THINKS THAT THE MOVIE TRAILER LOOKS PRETTY GOOD
The Martian,positive,,,"I liked a @YouTube video  The Martian Official Trailer #2 (2015) - Matt Damon, Jessica Chastain Movie HD"
The Martian,positive,,,"Saw the trailer for #TheMartian again before #TheManFromUNCLE. OH GOD, I'M GOING TO LOVE IT SO MUCH!!!"
The Martian,negative,,,Congrats to #themartian ad team for fitting as many spoilers into a trailer as possible. A new record?
The Martian,positive,,,Just been to a preview screening of The Martian. Utterly brilliant. Best film I've seen in ages
The Martian,positive,,,"just saw the trailer to The Martian, yep, I'm definitely going to have to watch that"
The Martian,positive,,,I love the trailer of The Martian would love to watch it
The Martian,positive,,,"I liked a @YouTube video from @filmtrailerzone  The Martian - Official Trailer #2 (2015) Ridley Scott, Matt"
The Martian,negative,6.47E+17,,My dog #missfrancie is deeply disturbed by #TheMartian trailer whenever it comes on TV.
The Martian,negative,6.47E+17,,Every time I see Matt Damon in that martian trailer I as always see him as the dick from interstellar
The Martian,positive,6.46E+17,,"#TheMartian looks like an amazing movie to see, based on trailer, looking forward to it "
The Martian,positive,6.46E+17,,Our film trailer of the week is @MartianMovie starring #MattDamon as a stranded astronaut on Mars. Out 30/9/15 http://www.manoffers.com/entertainment/video/the-martian-trailer/
The Martian,positive,6.46E+17,,From the trailer at least - Martian looks sensational. 
Jurassic World,negative,1.43E+12,,As for the jurassic world trailer well after seeing that I no longer need to see the film as the trailer shows everything and leaves nothing
Jurassic World,positive,6.00E+17,,I'm so excited for Jurassic World like I watch the trailer and get so pumped
Jurassic World,negative,6.00E+17,,"The trailer for Jurassic World makes it look like the absolute worst film in the franchise, and that's some stiff competition."
Jurassic World,positive,6.00E+17,,The trailer for Jurassic World looked epic!!! Buzzing for that
Jurassic World,positive,6.46E+17,,#TheMartian saw the trailer in the movies sounds good
Jurassic World,negative,6.00E+17,,I thought I would go and see #JurassicWorld but the trailer made it look boring. How can you make dinosaurs look boring? They managed
Jurassic World,negative,6.00E+17,,"The more I see the Jurassic World trailer, the less I wanna see it."
Jurassic World,positive,6.00E+17,,Everytime I see the Jurassic World trailer on tv I just get toooo hype ... Brings back my childhood
Jurassic World,positive,6.00E+17,,@MllePilgrim OMG I KNOW RIGHT that new Jurassic World trailer just made that movie a MUST SEE
